address ,Time of first entry,First entry amount,First entry amount
0xf17d5b363dbc4d0a8b7a089e07cc07cf82801ff6,2023-04-09 15:48:59.000 UTC,5.1206E+16,0.051206
0xf3622d46f014b65411a1ee7ee91e02c8b3437323,2023-04-09 16:51:59.000 UTC,5.0312E+16,0.050312
0xf3ca93166249d121fbed1e07f606fb8571e2ad7a,2023-04-09 15:28:59.000 UTC,5.2965E+16,0.052965
0xf4ddd3024e9cafff4334b8624da7c507720b72e9,2023-04-09 12:29:59.000 UTC,5.1332E+16,0.051332
0xf8c5f4bd42c660f065f608bc7a3c8392ad840239,2023-04-09 12:26:23.000 UTC,5.0833E+16,0.050833
0xf906a858db0d79c018d2e6a73adc39c9df190738,2023-04-09 14:20:23.000 UTC,5.2646E+16,0.052646
0xf98fed641d612d8e1fa01c670d9052a1445529c4,2023-04-09 20:21:23.000 UTC,5.2708E+16,0.052708
0xfa07ffa5a56b175d45e793becf80bb60e845cf1c,2023-04-09 15:12:23.000 UTC,5.0968E+16,0.050968
0xfca5435990701420cfffa741e0bd1be78070900b,2023-04-09 18:15:35.000 UTC,5.0024E+16,0.050024
0xfd1b22836444f5f9f97927aa75e7143b77b1baff,2023-04-09 16:43:47.000 UTC,5.0534E+16,0.050534
0xfd257719f8a47074e8130ba13f645be5332d512b,2023-04-09 19:38:11.000 UTC,5.137E+16,0.05137
0xff1a2dce21a7ead062c41e2aa6ebbad2705e4d8a,2023-04-09 12:54:23.000 UTC,5.0899E+16,0.050899
